Gender,MaritalStatus,Age,Accommodation,Faculty,SecSchType ,HealthCondition, LevelOfStudy,LectureAttend,ClassActive,LateFreq,StudyHours,CGPA,TechUtilization,EmpStatus,SocialMedia,StressMang,SadFreq,StudentAssoc,ExtracurricularAct,YearsBefAdmission,FamilySize,SponsorType,SponsorIncome,SponsorSupport, HomeResp,ProgramPref,OnlineResources,TeachStaffComp,QualityOfFacilities,ClassSize,InternetAccess,LecClarification,LecSupport,TeachnApproach,TeachnResources,TopicDensity,LecAbsFreq,LecPuctuality,TeachExperience
Female,Single,26-30,Off-campus,Physical Sciences,Public,No,300,Agree,Occasionally,Rarely,Less than 5 hours,2.40 - 3.49,Frequently,No,Less than 1 hour,Moderate,Often,Yes,Never,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Average,Excellent,Excellent,Yes,Agree,Excellent,Good,Occasionally,Occasionally,Disagree,Agree,Agree,Good
Male,Married,26-30,Off-campus,Education,Public,No,300,Agree,Rarely,Rarely,10-15 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Sometimes,No,Occasionally,Less than 1 year,1-4 members,Self-sponsored,"Below N80,000",Low,Very frequently,Yes,Average,Good,Average,No,Disagree,Average,Average,Frequently,Occasionally,Disagree,Agree,Agree,Average
Male,Single,21-25,On-campus,Social and Management Science,Private,No,200,Agree,Rarely,Never,5-10 hours,4.50 - 5.00,Frequently,No,More than 4 hours,Moderate,Sometimes,No,Never,Less than 1 year,1-4 members,Parents,"Above N150,000",High,Occasionally,No,Poor,Average,Average,Yes,Disagree,Average,Average,Occasionally,Rarely,Agree,Disagree,Agree,Good
Female,Single,21-25,On-campus,Education,Public,No,300,Disagree,Occasionally,Rarely,Less than 5 hours,2.40 - 3.49,Occasionally,No,1-2 hours,Moderate,Sometimes,No,Occasionally,1-2 years,1-4 members,Parents,"N80,000 - N150,000",Average,Occasionally,No,Average,Average,Average,Yes,Agree,Good,Average,Rarely,Occasionally,Disagree,Agree,Agree,Good
Female,Single,16-20,Living with family/relatives,Social and Management Science,Private,No,200,Strongly disagree,Occasionally,Never,Less than 5 hours,2.40 - 3.49,Very frequently,No,1-2 hours,Moderate,Very often,Yes,Frequently,Less than 1 year,1-4 members,Guardian,"N80,000 - N150,000",High,Very frequently,Yes,Average,Excellent,Good,Yes,Strongly disagree,Excellent,Excellent,Always,Always,Agree,Strongly agree,Strongly agree,Excellent
Male,Single,26-30,Off-campus,Physical Sciences,Public,Yes,300,Agree,Very frequently,Never,5-10 hours,1.50 - 2.39,Occasionally,Yes,Less than 1 hour,Moderate,Sometimes,Yes,Never,1-2 years,Above 9 members,Self-sponsored,"Below N80,000",Low,Occasionally,No,Average,Good,Poor,No,Disagree,Average,Excellent,Always,Never,Agree,Agree,Agree,Good
Male,Single,26-30,Off-campus,Education,Public,No,300,Disagree,Never,Twice a week,Less than 5 hours,2.40 - 3.49,Occasionally,Yes,1-2 hours,Very low,Sometimes,No,Occasionally,1-2 years,5-9 members,Self-sponsored,"Below N80,000",Average,Very frequently,Yes,Average,Average,Average,Yes,Agree,Average,Good,Frequently,Rarely,Disagree,Disagree,Agree,Good
Male,Single,21-25,On-campus,Life Sciences,Private,No,200,Strongly disagree,Rarely,Never,5-10 hours,1.50 - 2.39,Occasionally,No,2-3 hours,High,Often,No,Rarely,Less than 1 year,5-9 members,Parents,"Below N80,000",High,Frequently,No,Average,Good,Average,Yes,Disagree,Average,Good,Occasionally,Frequently,Disagree,Disagree,Disagree,Good
Male,Single,16-20,Off-campus,Social and Management Science,Private,No,200,Agree,Rarely,Rarely,Less than 5 hours,3.50 - 4.49,Frequently,No,Less than 1 hour,Low,Sometimes,Yes,Rarely,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",Average,Occasionally,No,Average,Good,Average,Yes,Agree,Average,Good,Frequently,Rarely,Agree,Agree,Agree,Average
Female,Single,21-25,Living with family/relatives,Education,Private,No,300,Strongly disagree,Occasionally,Once a week,5-10 hours,3.50 - 4.49,Frequently,Yes,3-4 hours,High,Sometimes,Yes,Never,1-2 years,5-9 members,Guardian,"N80,000 - N150,000",Average,Very frequently,No,Average,Good,Good,No,Disagree,Good,Good,Occasionally,Occasionally,Disagree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Education,Public,No,500,Strongly disagree,Very frequently,Never,5-10 hours,4.50 - 5.00,Frequently,Yes,More than 4 hours,Very high,Very often,No,Never,Less than 1 year,Above 9 members,Parents,"Below N80,000",High,Occasionally,No,Excellent,Excellent,Very poor,Yes,Strongly disagree,Good,Good,Always,Occasionally,Strongly disagree,Agree,Disagree,Good
Male,Single,21-25,Living with family/relatives,Physical Sciences,Public,No,400,Strongly disagree,Frequently,Rarely,5-10 hours,3.50 - 4.49,Frequently,Yes,1-2 hours,Moderate,Sometimes,No,Never,Less than 1 year,Above 9 members,Self-sponsored,"Below N80,000",Average,Frequently,Yes,Average,Excellent,Average,Yes,Agree,Good,Good,Always,Frequently,Agree,Agree,Disagree,Good
Male,Single,16-20,On-campus,Life Sciences,Private,No,200,Agree,Occasionally,Once a week,5-10 hours,2.40 - 3.49,Frequently,No,2-3 hours,Moderate,Never,Yes,Occasionally,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Occasionally,Yes,Average,Good,Average,No,Strongly disagree,Excellent,Excellent,Always,Always,Agree,Agree,Agree,Good
Male,Single,26-30,Off-campus,Education,Public,No,500,Agree,Frequently,Almost every day,5-10 hours,2.40 - 3.49,Frequently,No,Less than 1 hour,Very high,Often,No,Rarely,Less than 1 year,5-9 members,Self-sponsored,"Below N80,000",Low,Occasionally,No,Good,Excellent,Excellent,Yes,Strongly agree,Excellent,Excellent,Always,Always,Disagree,Disagree,Disagree,Excellent
Female,Single,21-25,On-campus,Physical Sciences,Private,No,500,Disagree,Rarely,Rarely,Less than 5 hours,3.50 - 4.49,Frequently,No,2-3 hours,Moderate,Sometimes,No,Never,Less than 1 year,Above 9 members,Parents,"N80,000 - N150,000",Average,Very frequently,Yes,Average,Good,Poor,No,Disagree,Good,Good,Always,Always,Agree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Social and Management Science,Private,No,200,Disagree,Occasionally,Never,5-10 hours,3.50 - 4.49,Frequently,No,3-4 hours,Moderate,Sometimes,No,Never,Less than 1 year,5-9 members,Parents,"Below N80,000",Average,Occasionally,No,Good,Good,Good,Yes,Agree,Good,Average,Occasionally,Occasionally,Agree,Agree,Disagree,Good
Female,Single,16-20,On-campus,Agriculture,Private,Yes,200,Agree,Rarely,Rarely,More than 20 hours,3.50 - 4.49,Frequently,No,3-4 hours,Moderate,Sometimes,No,Never,1-2 years,5-9 members,Parents,"N80,000 - N150,000",High,Occasionally,Yes,Good,Good,Good,Yes,Disagree,Good,Excellent,Rarely,Never,Agree,Agree,Agree,Good
Male,Single,21-25,On-campus,Environmental,Private,No,300,Disagree,Rarely,Never,Less than 5 hours,2.40 - 3.49,Very frequently,No,More than 4 hours,Very high,Often,Yes,Rarely,Less than 1 year,Above 9 members,Parents,"Below N80,000",Average,Not at all,Yes,Average,Excellent,Poor,No,Disagree,Excellent,Average,Rarely,Frequently,Disagree,Agree,Agree,Excellent
Male,Single,21-25,Off-campus,Life Sciences,Public,No,500,Strongly agree,Never,Almost every day,More than 20 hours,3.50 - 4.49,Very frequently,Yes,1-2 hours,Moderate,Never,Yes,Occasionally,Less than 1 year,Above 9 members,Self-sponsored,"Above N150,000",Average,Frequently,Yes,Poor,Average,Average,Yes,Strongly disagree,Average,Average,Frequently,Occasionally,Strongly agree,Strongly agree,Strongly agree,Average
Male,Single,26-30,Off-campus,Agriculture,Public,No,500,Strongly disagree,Occasionally,Rarely,Less than 5 hours,3.50 - 4.49,Very frequently,No,More than 4 hours,Moderate,Never,Yes,Occasionally,More than 3 years,Above 9 members,Parents,"Above N150,000",High,Very frequently,No,Good,Average,Average,Yes,Strongly disagree,Average,Average,Frequently,Occasionally,Disagree,Agree,Disagree,Average
Male,Single,21-25,Off-campus,Agriculture,Private,No,400,Disagree,Rarely,Rarely,5-10 hours,3.50 - 4.49,Very frequently,Yes,More than 4 hours,Moderate,Sometimes,No,Never,Less than 1 year,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Poor,Average,Average,Yes,Disagree,Average,Average,Rarely,Occasionally,Agree,Agree,Agree,Average
Female,Married,16-20,On-campus,Social and Management Science,Public,Yes,300,Strongly agree,Never,Almost every day,Less than 5 hours,2.40 - 3.49,Very frequently,No,More than 4 hours,Moderate,Very often,No,Never,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Very frequently,Yes,Average,Good,Average,No,Strongly disagree,Good,Average,Occasionally,Rarely,Agree,Strongly agree,Strongly agree,Good
Male,Single,26-30,Living with family/relatives,Social and Management Science,Public,No,400,Disagree,Rarely,Never,5-10 hours,2.40 - 3.49,Very frequently,No,3-4 hours,Moderate,Sometimes,No,Never,1-2 years,1-4 members,Guardian,"Above N150,000",High,Frequently,Yes,Poor,Good,Good,Yes,Disagree,Excellent,Excellent,Always,Frequently,Agree,Agree,Disagree,Good
Male,Single,21-25,On-campus,Agriculture,Private,No,400,Agree,Occasionally,Twice a week,Less than 5 hours,2.40 - 3.49,Occasionally,Yes,2-3 hours,Moderate,Often,Yes,Frequently,2-3 years,5-9 members,Parents,"N80,000 - N150,000",High,Not at all,No,Good,Good,Good,Yes,Agree,Good,Good,Frequently,Frequently,Disagree,Disagree,Disagree,Good
Male,Single,21-25,On-campus,Life Sciences,Private,No,300,Agree,Frequently,Once a week,10-15 hours,2.40 - 3.49,Very frequently,Yes,1-2 hours,High,Sometimes,Yes,Frequently,1-2 years,Above 9 members,Parents,"N80,000 - N150,000",Average,Occasionally,Yes,Poor,Good,Good,Yes,Disagree,Average,Average,Occasionally,Occasionally,Disagree,Disagree,Agree,Average
Male,Single,16-20,On-campus,Physical Sciences,Private,No,200,Strongly disagree,Never,Rarely,5-10 hours,2.40 - 3.49,Very frequently,No,2-3 hours,Moderate,Very often,No,Rarely,1-2 years,5-9 members,Parents,"Below N80,000",High,Very frequently,No,Very poor,Good,Average,No,Strongly disagree,Average,Good,Occasionally,Occasionally,Strongly disagree,Agree,Disagree,Good
Male,Single,26-30,Off-campus,Life Sciences,Public,No,500,Disagree,Frequently,Rarely,15-20 hours,3.50 - 4.49,Very frequently,Yes,2-3 hours,High,Sometimes,Yes,Frequently,2-3 years,5-9 members,Parents,"Above N150,000",High,Occasionally,Yes,Poor,Good,Average,No,Disagree,Good,Good,Frequently,Frequently,Disagree,Disagree,Disagree,Good
Male,Single,21-25,On-campus,Environmental,Private,No,400,Strongly disagree,Occasionally,Twice a week,15-20 hours,4.50 - 5.00,Very frequently,No,2-3 hours,Moderate,Often,No,Rarely,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Frequently,Yes,Very poor,Poor,Very poor,No,Agree,Average,Average,Occasionally,Rarely,Agree,Agree,Strongly agree,Average
Male,Single,21-25,Off-campus,Life Sciences,Private,No,500,Disagree,Rarely,Rarely,Less than 5 hours,3.50 - 4.49,Occasionally,No,More than 4 hours,Low,Sometimes,No,Occasionally,Less than 1 year,1-4 members,Guardian,"N80,000 - N150,000",Average,Occasionally,Yes,Poor,Average,Average,No,Disagree,Average,Average,Occasionally,Rarely,Agree,Strongly agree,Agree,Poor
Male,Single,21-25,Off-campus,Life Sciences,Private,No,300,Agree,Occasionally,Twice a week,10-15 hours,3.50 - 4.49,Very frequently,No,2-3 hours,Moderate,Sometimes,No,Occasionally,Less than 1 year,1-4 members,Parents,"Above N150,000",Average,Occasionally,Yes,Very poor,Average,Very poor,No,Strongly agree,Good,Average,Frequently,Occasionally,Agree,Disagree,Agree,Average
Female,Single,16-20,On-campus,Life Sciences,Public,No,200,Disagree,Rarely,Rarely,Less than 5 hours,3.50 - 4.49,Frequently,No,1-2 hours,Moderate,Sometimes,No,Rarely,1-2 years,Above 9 members,Parents,"Above N150,000",High,Frequently,No,Average,Good,Poor,No,Disagree,Average,Average,Occasionally,Frequently,Agree,Agree,Agree,Good
Male,Single,26-30,On-campus,Social and Management Science,Public,No,300,Disagree,Rarely,Rarely,5-10 hours,3.50 - 4.49,Frequently,No,1-2 hours,Moderate,Sometimes,No,Rarely,More than 3 years,Above 9 members,Parents,"N80,000 - N150,000",Average,Occasionally,Yes,Poor,Average,Average,Yes,Disagree,Average,Average,Occasionally,Occasionally,Disagree,Agree,Agree,Average
Female,Single,21-25,On-campus,Life Sciences,Private,No,300,Disagree,Rarely,Rarely,Less than 5 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Very often,No,Never,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Frequently,Yes,Very poor,Good,Poor,No,Strongly disagree,Good,Good,Frequently,Frequently,Disagree,Agree,Agree,Good
Male,Single,16-20,On-campus,Social and Management Science,Private,No,200,Agree,Never,Rarely,Less than 5 hours,1.50 - 2.39,Frequently,No,More than 4 hours,Low,Often,No,Never,1-2 years,Above 9 members,Parents,"Below N80,000",Average,Frequently,No,Poor,Average,Good,Yes,Disagree,Good,Average,Frequently,Frequently,Strongly agree,Strongly agree,Strongly agree,Good
Male,Single,21-25,Off-campus,Engineering,Private,No,400,Disagree,Very frequently,Rarely,More than 20 hours,3.50 - 4.49,Very frequently,Yes,More than 4 hours,High,Sometimes,No,Occasionally,Less than 1 year,Above 9 members,Parents,"Below N80,000",Average,Frequently,Yes,Good,Average,Average,Yes,Disagree,Poor,Average,Rarely,Rarely,Strongly agree,Disagree,Agree,Average
Male,Single,21-25,Living with family/relatives,Physical Sciences,Public,No,300,Disagree,Frequently,Almost every day,Less than 5 hours,2.40 - 3.49,Frequently,Yes,Less than 1 hour,Moderate,Sometimes,Yes,Frequently,1-2 years,Above 9 members,Parents,"N80,000 - N150,000",High,Not at all,Yes,Excellent,Good,Good,Yes,Agree,Excellent,Excellent,Always,Never,Disagree,Disagree,Disagree,Excellent
Male,Single,26-30,Off-campus,Physical Sciences,Private,No,500,Disagree,Frequently,Once a week,5-10 hours,3.50 - 4.49,Frequently,No,More than 4 hours,High,Sometimes,Yes,Occasionally,1-2 years,5-9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Average,Good,Average,No,Disagree,Good,Good,Frequently,Frequently,Disagree,Disagree,Disagree,Good
Male,Single,21-25,Off-campus,Physical Sciences,Private,No,500,Disagree,Occasionally,Rarely,5-10 hours,3.50 - 4.49,Very frequently,No,1-2 hours,High,Never,No,Occasionally,1-2 years,1-4 members,Parents,"N80,000 - N150,000",Average,Occasionally,Yes,Average,Good,Poor,No,Disagree,Excellent,Good,Frequently,Frequently,Agree,Disagree,Agree,Good
Male,Single,21-25,On-campus,Physical Sciences,Public,No,500,Agree,Occasionally,Once a week,15-20 hours,3.50 - 4.49,Very frequently,Yes,2-3 hours,High,Sometimes,No,Rarely,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Occasionally,Yes,Good,Excellent,Poor,No,Disagree,Good,Excellent,Frequently,Frequently,Agree,Strongly disagree,Strongly disagree,Excellent
Male,Single,26-30,On-campus,Physical Sciences,Private,No,500,Strongly agree,Frequently,Almost every day,5-10 hours,3.50 - 4.49,Never,Yes,1-2 hours,Very low,Often,Yes,Frequently,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Frequently,Yes,Average,Good,Very poor,No,Strongly disagree,Good,Average,Never,Rarely,Strongly agree,Agree,Agree,Very poor
Male,Single,21-25,Off-campus,Physical Sciences,Public,No,200,Disagree,Occasionally,Once a week,5-10 hours,3.50 - 4.49,Very frequently,Yes,More than 4 hours,Moderate,Sometimes,No,Never,2-3 years,5-9 members,Guardian,"Above N150,000",Average,Occasionally,Yes,Good,Excellent,Excellent,Yes,Agree,Good,Good,Frequently,Always,Agree,Agree,Disagree,Good
Male,Single,16-20,On-campus,Education,Private,No,200,Disagree,Occasionally,Never,Less than 5 hours,2.40 - 3.49,Very frequently,Yes,Less than 1 hour,Moderate,Often,No,Rarely,1-2 years,1-4 members,Parents,"Below N80,000",Average,Occasionally,No,Average,Good,Poor,No,Strongly disagree,Good,Excellent,Frequently,Always,Strongly disagree,Disagree,Disagree,Excellent
Male,Single,21-25,Off-campus,Environmental,Public,No,200,Agree,Occasionally,Almost every day,5-10 hours,2.40 - 3.49,Frequently,No,2-3 hours,Moderate,Sometimes,No,Occasionally,More than 3 years,5-9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Good,Average,Average,Yes,Agree,Good,Good,Occasionally,Frequently,Disagree,Agree,Disagree,Good
Male,Single,16-20,On-campus,Physical Sciences,Private,No,200,Disagree,Occasionally,Rarely,5-10 hours,2.40 - 3.49,Frequently,No,Less than 1 hour,Moderate,Sometimes,No,Never,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Frequently,Yes,Average,Average,Poor,No,Strongly disagree,Good,Average,Frequently,Rarely,Agree,Agree,Agree,Good
Male,Single,16-20,Off-campus,Physical Sciences,Private,No,200,Agree,Occasionally,Never,5-10 hours,2.40 - 3.49,Very frequently,Yes,More than 4 hours,Moderate,Sometimes,No,Very frequently,Less than 1 year,Above 9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Good,Good,Average,Yes,Disagree,Good,Good,Frequently,Frequently,Agree,Agree,Agree,Good
Male,Single,16-20,On-campus,Environmental,Private,No,200,Disagree,Rarely,Never,Less than 5 hours,2.40 - 3.49,Frequently,No,3-4 hours,Low,Sometimes,No,Very frequently,1-2 years,1-4 members,Parents,"Above N150,000",High,Frequently,Yes,Very poor,Good,Average,No,Strongly disagree,Good,Excellent,Occasionally,Frequently,Agree,Agree,Agree,Good
Female,Single,21-25,On-campus,Environmental,Private,No,200,Disagree,Occasionally,Never,5-10 hours,2.40 - 3.49,Frequently,No,2-3 hours,Moderate,Often,No,Never,More than 3 years,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Poor,Average,Poor,No,Strongly disagree,Average,Average,Occasionally,Frequently,Disagree,Agree,Agree,Average
Male,Single,21-25,On-campus,Environmental,Public,No,200,Agree,Rarely,Rarely,10-15 hours,1.50 - 2.39,Very frequently,Yes,1-2 hours,Moderate,Very often,No,Occasionally,1-2 years,Above 9 members,Parents,"Below N80,000",Average,Frequently,Yes,Poor,Good,Poor,No,Disagree,Good,Good,Frequently,Occasionally,Disagree,Agree,Agree,Good
Male,Single,16-20,On-campus,Environmental,Public,No,200,Agree,Very frequently,Rarely,5-10 hours,2.40 - 3.49,Very frequently,No,1-2 hours,Moderate,Sometimes,Yes,Occasionally,1-2 years,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Poor,Good,Poor,No,Disagree,Good,Good,Rarely,Frequently,Strongly agree,Strongly agree,Strongly agree,Good
Male,Single,16-20,On-campus,Education,Private,No,200,Agree,Rarely,Once a week,Less than 5 hours,3.50 - 4.49,Occasionally,No,3-4 hours,Moderate,Sometimes,No,Rarely,1-2 years,5-9 members,Parents,"N80,000 - N150,000",Average,Frequently,No,Good,Good,Good,Yes,Agree,Good,Good,Frequently,Frequently,Agree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Environmental,Private,No,200,Agree,Rarely,Rarely,Less than 5 hours,3.50 - 4.49,Frequently,No,Less than 1 hour,Moderate,Often,No,Rarely,1-2 years,5-9 members,Parents,"Below N80,000",High,Occasionally,Yes,Average,Good,Good,Yes,Disagree,Good,Good,Frequently,Occasionally,Disagree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Environmental,Public,No,200,Agree,Rarely,Rarely,5-10 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Sometimes,No,Rarely,2-3 years,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Poor,Good,Average,No,Disagree,Good,Good,Always,Occasionally,Agree,Agree,Agree,Good
Male,Single,21-25,On-campus,Environmental,Private,No,200,Disagree,Occasionally,Rarely,15-20 hours,3.50 - 4.49,Very frequently,No,2-3 hours,Moderate,Often,No,Rarely,1-2 years,5-9 members,Parents,"N80,000 - N150,000",Average,Occasionally,Yes,Poor,Good,Good,No,Agree,Good,Good,Frequently,Always,Disagree,Agree,Agree,Average
Male,Single,16-20,On-campus,Environmental,Public,No,200,Disagree,Occasionally,Never,10-15 hours,2.40 - 3.49,Frequently,No,2-3 hours,Low,Sometimes,No,Frequently,Less than 1 year,1-4 members,Parents,"Above N150,000",High,Very frequently,Yes,Average,Average,Average,No,Agree,Average,Average,Frequently,Frequently,Agree,Agree,Agree,Average
Male,Single,21-25,On-campus,Environmental,Private,No,200,Disagree,Rarely,Twice a week,5-10 hours,2.40 - 3.49,Rarely,No,More than 4 hours,Moderate,Often,No,Occasionally,Less than 1 year,5-9 members,Guardian,"Above N150,000",Average,Occasionally,Yes,Average,Average,Average,Yes,Agree,Average,Average,Occasionally,Frequently,Disagree,Agree,Agree,Average
Male,Single,21-25,Off-campus,Environmental,Private,No,200,Disagree,Very frequently,Never,Less than 5 hours,3.50 - 4.49,Rarely,Yes,Less than 1 hour,Moderate,Never,No,Very frequently,Less than 1 year,Above 9 members,Parents,"Below N80,000",Average,Not at all,No,Good,Average,Poor,Yes,Disagree,Good,Good,Rarely,Occasionally,Agree,Disagree,Disagree,Good
Male,Single,16-20,Off-campus,Environmental,Private,No,200,Disagree,Occasionally,Rarely,10-15 hours,2.40 - 3.49,Very frequently,Yes,3-4 hours,Moderate,Sometimes,No,Rarely,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Frequently,Yes,Good,Excellent,Good,Yes,Agree,Excellent,Excellent,Always,Always,Disagree,Disagree,Strongly disagree,Excellent
Male,Single,16-20,Living with family/relatives,Environmental,Private,Yes,200,Agree,Rarely,Rarely,5-10 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Sometimes,No,Rarely,Less than 1 year,5-9 members,Parents,"Below N80,000",High,Occasionally,Yes,Average,Average,Average,No,Disagree,Average,Average,Occasionally,Occasionally,Disagree,Agree,Agree,Average
Male,Single,16-20,Off-campus,Environmental,Private,No,200,Disagree,Never,Rarely,Less than 5 hours,3.50 - 4.49,Very frequently,Yes,1-2 hours,High,Sometimes,No,Occasionally,Less than 1 year,5-9 members,Parents,"Below N80,000",Average,Frequently,Yes,Average,Very poor,Very poor,No,Strongly disagree,Very poor,Good,Frequently,Frequently,Disagree,Disagree,Disagree,Average
Male,Single,16-20,On-campus,Environmental,Private,No,200,Disagree,Occasionally,Once a week,5-10 hours,3.50 - 4.49,Rarely,Yes,Less than 1 hour,Moderate,Sometimes,Yes,Occasionally,Less than 1 year,1-4 members,Parents,"Above N150,000",High,Very frequently,Yes,Poor,Average,Average,No,Disagree,Good,Good,Frequently,Frequently,Agree,Agree,Agree,Good
Male,Single,21-25,On-campus,Environmental,Private,No,200,Agree,Rarely,Rarely,Less than 5 hours,2.40 - 3.49,Very frequently,No,More than 4 hours,High,Sometimes,No,Very frequently,1-2 years,1-4 members,Parents,"Above N150,000",High,Occasionally,No,Poor,Average,Average,No,Disagree,Average,Average,Rarely,Occasionally,Agree,Disagree,Agree,Average
Male,Single,16-20,On-campus,Education,Private,No,200,Disagree,Never,Never,Less than 5 hours,2.40 - 3.49,Rarely,No,More than 4 hours,Moderate,Sometimes,No,Occasionally,Less than 1 year,1-4 members,Parents,"N80,000 - N150,000",Average,Frequently,No,Average,Excellent,Excellent,Yes,Agree,Good,Good,Always,Frequently,Disagree,Agree,Agree,Good
Male,Single,21-25,Off-campus,Environmental,Public,No,200,Strongly disagree,Occasionally,Once a week,10-15 hours,2.40 - 3.49,Frequently,No,1-2 hours,Moderate,Never,No,Never,Less than 1 year,1-4 members,Scholarship,"Above N150,000",High,Occasionally,Yes,Very poor,Average,Good,No,Agree,Good,Average,Rarely,Always,Agree,Strongly agree,Strongly agree,Good
Male,Single,21-25,Off-campus,Environmental,Private,No,200,Strongly disagree,Occasionally,Rarely,15-20 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Sometimes,Yes,Frequently,Less than 1 year,5-9 members,Parents,"Above N150,000",High,Occasionally,Yes,Excellent,Excellent,Good,Yes,Agree,Excellent,Excellent,Frequently,Frequently,Agree,Agree,Disagree,Good
Female,Single,21-25,On-campus,Education,Public,No,200,Agree,Frequently,Rarely,5-10 hours,1.50 - 2.39,Rarely,No,3-4 hours,High,Sometimes,Yes,Rarely,2-3 years,5-9 members,Guardian,"Below N80,000",Average,Frequently,Yes,Good,Good,Average,Yes,Agree,Average,Good,Rarely,Frequently,Agree,Disagree,Agree,Average
Male,Single,16-20,Off-campus,Education,Private,No,200,Disagree,Rarely,Rarely,Less than 5 hours,2.40 - 3.49,Very frequently,No,More than 4 hours,Moderate,Sometimes,Yes,Rarely,Less than 1 year,1-4 members,Parents,"Above N150,000",High,Occasionally,Yes,Good,Excellent,Excellent,Yes,Agree,Excellent,Excellent,Always,Frequently,Disagree,Agree,Agree,Excellent
Male,Single,21-25,Off-campus,Environmental,Public,No,200,Disagree,Never,Never,5-10 hours,3.50 - 4.49,Occasionally,No,1-2 hours,Moderate,Sometimes,Yes,Never,Less than 1 year,Above 9 members,Parents,"N80,000 - N150,000",Average,Frequently,Yes,Excellent,Average,Average,No,Agree,Average,Average,Occasionally,Occasionally,Agree,Agree,Agree,Average
Male,Single,16-20,On-campus,Education,Public,No,200,Strongly disagree,Rarely,Never,15-20 hours,4.50 - 5.00,Very frequently,No,2-3 hours,Moderate,Never,No,Rarely,1-2 years,5-9 members,Parents,"Above N150,000",High,Very frequently,No,Average,Excellent,Good,Yes,Strongly disagree,Excellent,Good,Frequently,Frequently,Agree,Disagree,Strongly disagree,Excellent
Male,Single,21-25,Off-campus,Environmental,Private,No,200,Agree,Rarely,Twice a week,5-10 hours,2.40 - 3.49,Frequently,No,3-4 hours,Moderate,Often,No,Frequently,1-2 years,5-9 members,Parents,"Above N150,000",High,Frequently,Yes,Average,Good,Very poor,No,Strongly disagree,Good,Good,Frequently,Rarely,Agree,Agree,Disagree,Excellent
Male,Single,21-25,Off-campus,Education,Public,No,200,Disagree,Rarely,Rarely,5-10 hours,3.50 - 4.49,Frequently,Yes,1-2 hours,Moderate,Sometimes,No,Occasionally,1-2 years,1-4 members,Parents,"N80,000 - N150,000",Average,Frequently,No,Average,Average,Average,Yes,Disagree,Average,Average,Occasionally,Frequently,Disagree,Disagree,Disagree,Average
Male,Single,21-25,Off-campus,Environmental,Private,No,200,Strongly disagree,Frequently,Rarely,Less than 5 hours,3.50 - 4.49,Frequently,No,1-2 hours,High,Sometimes,No,Occasionally,1-2 years,1-4 members,Parents,"Below N80,000",Average,Occasionally,Yes,Good,Excellent,Good,Yes,Strongly agree,Excellent,Excellent,Frequently,Frequently,Agree,Agree,Agree,Excellent
Male,Single,21-25,On-campus,Environmental,Private,No,200,Strongly disagree,Occasionally,Rarely,Less than 5 hours,2.40 - 3.49,Frequently,No,Less than 1 hour,High,Sometimes,No,Occasionally,Less than 1 year,5-9 members,Parents,"N80,000 - N150,000",High,Occasionally,Yes,Excellent,Excellent,Excellent,Yes,Agree,Excellent,Excellent,Frequently,Frequently,Agree,Agree,Agree,Excellent
Male,Single,21-25,Off-campus,Environmental,Private,No,200,Agree,Rarely,Rarely,Less than 5 hours,2.40 - 3.49,Frequently,Yes,1-2 hours,Low,Often,No,Never,Less than 1 year,Above 9 members,Self-sponsored,"Below N80,000",Average,Frequently,No,Average,Average,Average,No,Disagree,Average,Average,Frequently,Frequently,Strongly agree,Disagree,Agree,Average
